accession	reference_length	covered_bases	reads_mapped	avg_coverage	Sample_ID	PoolID
AB522397.2	7461	651	25	0.48351797	A9AUEL	p1835
AB541261.1	7509	237	4	0.055442315	A9AUEL	p1835
AB614356.1	7476	403	30	0.5915916	A9AUEL	p1835
AB623037.2	7442	3701	350	6.8239164	A9AUEL	p1835
AB767299.2	5167	140	2	0.027905123	A9AUEL	p1835
AB792642.1	1062	481	29	4.5723686	A9AUEL	p1835
AB933728.1	7467	208	4	0.047423806	A9AUEL	p1835
AB933730.1	7509	896	42	0.66000813	A9AUEL	p1835
AF033808.1	9392	202	18	0.2680156	A9AUEL	p1835
AF043303.1	4679	4628	4389	135.49017	A9AUEL	p1835
AF063497.1	4718	304	4	0.19111209	A9AUEL	p1835
AF108105.1	35100	5431	839	3.3449786	A9AUEL	p1835
AF144792.1	751	66	1	0.06821963	A9AUEL	p1835
AF144794.1	751	116	1	0.049916804	A9AUEL	p1835
AF144797.1	750	91	1	0.08	A9AUEL	p1835
AF150629.1	9491	602	50	0.73621666	A9AUEL	p1835
AF151983.1	8104	517	26	0.41123962	A9AUEL	p1835
AF165219.1	675	108	3	0.42857143	A9AUEL	p1835
AF218266.2	3909	302	18	0.68262833	A9AUEL	p1835
AF237666.1	1063	67	2	0	A9AUEL	p1835
AF260508.1	6759	3448	2530	53.454533	A9AUEL	p1835
AF261761.1	3736	185	14	0.55744565	A9AUEL	p1835
AF332135.1	1196	772	74	9.362332	A9AUEL	p1835
AF345524.1	3193	151	10	0.45382845	A9AUEL	p1835
AF368033.1	3854	1621	236	8.150378	A9AUEL	p1835
AF368034.1	2203	2008	2788	190.35606	A9AUEL	p1835
AF368037.1	1204	537	8	0.59867173	A9AUEL	p1835
AF401755.1	2359	1988	438	27.036669	A9AUEL	p1835
AF436130.1	7887	600	26	0.47137132	A9AUEL	p1835
AF457102.1	15600	157	10	0.094045304	A9AUEL	p1835
AF473561.1	5666	415	40	1.0248369	A9AUEL	p1835
AF495467.1	5097	4923	1472	40.765717	A9AUEL	p1835
AF499641.1	7410	59	1	0.008126722	A9AUEL	p1835
AF513852.1	4393	307	5	0.09285883	A9AUEL	p1835
AF531420.1	7461	166	6	0.0953358	A9AUEL	p1835
AF536531.1	9812	317	4	0.051956117	A9AUEL	p1835
AJ249939.1	7490	1548	168	3.3964577	A9AUEL	p1835
AJ303139.1	2736	842	62	3.4814384	A9AUEL	p1835
AJ489744.2	10140	139	4	0.04944945	A9AUEL	p1835
AX174942.1	3847	337	22	0.7322153	A9AUEL	p1835
AY095351.2	4094	143	7	0.17013185	A9AUEL	p1835
AY116593.1	751	125	2	0.18968385	A9AUEL	p1835
AY134748.1	7537	378	37	0.64180315	A9AUEL	p1835
AY237415.2	7541	239	6	0.11365174	A9AUEL	p1835
AY237420.2	7458	621	18	0.40640393	A9AUEL	p1835
AY251269.2	10112	724	59	0.838687	A9AUEL	p1835
AY302541.1	7437	135	25	0.42925757	A9AUEL	p1835
AY302543.1	7416	151	15	0.29851362	A9AUEL	p1835
AY302544.1	7433	134	3	0.052038994	A9AUEL	p1835
AY302547.1	7426	122	5	0.048103355	A9AUEL	p1835
AY302555.1	7420	67	1	0.009215956	A9AUEL	p1835
AY302556.1	7394	62	1	0.008558807	A9AUEL	p1835
AY302560.1	7411	153	2	0.010880044	A9AUEL	p1835
AY382778.1	7450	278	23	0.4190411	A9AUEL	p1835
AY386330.1	5596	799	94	2.3727508	A9AUEL	p1835
AY421769.1	7415	706	88	1.6410186	A9AUEL	p1835
AY594670.1	1194	51	1	0.048850574	A9AUEL	p1835
AY634314.1	8026	1856	127	2.2168612	A9AUEL	p1835
AY646853.2	7429	487	6	0.11677428	A9AUEL	p1835
AY646854.2	7429	922	26	0.43824703	A9AUEL	p1835
AY646855.2	7459	154	16	0.19770147	A9AUEL	p1835
AY646856.2	7500	7437	4637	87.863266	A9AUEL	p1835
AY694184.2	7429	674	78	1.4525347	A9AUEL	p1835
AY697461.1	7427	60	1	0.008245156	A9AUEL	p1835
AY720891.1	6723	4767	1647	34.13388	A9AUEL	p1835
AY772730.1	7579	224	10	0.15102975	A9AUEL	p1835
AY843303.1	7418	94	5	0.062328015	A9AUEL	p1835
AY843305.1	7422	282	30	0.5627063	A9AUEL	p1835
AY855068.1	752	121	2	0.19269103	A9AUEL	p1835
D00325.1	1356	298	12	0.7794362	A9AUEL	p1835
D00530.1	5987	629	49	1.1677232	A9AUEL	p1835
D00820.1	7390	82	2	0.017541436	A9AUEL	p1835
D14723.1	2363	1490	254	15.979214	A9AUEL	p1835
D38150.1	1567	342	2	0.33521524	A9AUEL	p1835
DQ022305.2	29728	77	1	0.0010142673	A9AUEL	p1835
DQ125333.1	7437	6897	3564	68.25346	A9AUEL	p1835
DQ220017.1	1435	1397	1050	111.75253	A9AUEL	p1835
DQ288660.1	750	247	34	5.4983335	A9AUEL	p1835
DQ366347.1	7558	87	1	0.011744061	A9AUEL	p1835
DQ415279.1	7559	423	45	0.9206371	A9AUEL	p1835
DQ473505.1	7141	158	13	0.25118008	A9AUEL	p1835
DQ664184.1	3854	1563	100	3.5712743	A9AUEL	p1835
DQ664185.1	3912	141	1	0.25598085	A9AUEL	p1835
DQ664187.1	2304	1360	657	40.863976	A9AUEL	p1835
DQ664188.1	2203	1268	271	15.926449	A9AUEL	p1835
DQ664190.1	1331	170	3	0.11176968	A9AUEL	p1835
DQ664191.1	1198	85	1	0.026717557	A9AUEL	p1835
DQ811788.1	28571	3064	171	0.8356145	A9AUEL	p1835
DQ915164.2	31076	204	35	0.15766668	A9AUEL	p1835
DQ995633.1	7452	182	66	1.1587236	A9AUEL	p1835
EF059918.1	750	730	21827	4589.507	A9AUEL	p1835
EF059920.1	2359	231	8	0.47713897	A9AUEL	p1835
EF059923.1	2359	2339	23518	1496.4618	A9AUEL	p1835
EF174468.1	7411	90	1	0.012394987	A9AUEL	p1835
EF186077.2	7134	428	10	0.20546964	A9AUEL	p1835
EF555645.1	7438	68	3	0.025521405	A9AUEL	p1835
EF564600.1	35130	579	116	0.42212692	A9AUEL	p1835
EU000534.1	5674	62	1	0.011223751	A9AUEL	p1835
EU233812.1	4139	900	143	5.0313363	A9AUEL	p1835
EU424062.1	15462	441	38	0.3852534	A9AUEL	p1835
EU556224.1	7146	148	2	0.03759291	A9AUEL	p1835
EU681176.2	7842	133	8	0.13208528	A9AUEL	p1835
EU681177.2	7809	151	16	0.30722025	A9AUEL	p1835
EU681178.2	7846	253	30	0.52676713	A9AUEL	p1835
EU708890.1	3269	2864	642	28.07855	A9AUEL	p1835
EU708891.1	2653	1441	204	11.206952	A9AUEL	p1835
EU708895.1	1007	775	148	22.760794	A9AUEL	p1835
EU708896.1	1546	1415	250	24.411892	A9AUEL	p1835
EU708897.1	1022	633	83	12.963303	A9AUEL	p1835
EU708898.1	1025	753	275	42.485714	A9AUEL	p1835
EU708899.1	704	431	164	33.88628	A9AUEL	p1835
EU708900.1	631	151	4	1.2203742	A9AUEL	p1835
EU796884.1	7899	292	30	0.53155243	A9AUEL	p1835
FJ222451.1	6171	6097	6149	142.11427	A9AUEL	p1835
FJ361201.1	3267	1870	415	16.716715	A9AUEL	p1835
FJ361202.1	2673	597	38	1.8660325	A9AUEL	p1835
FJ361203.1	2508	111	1	0.11535199	A9AUEL	p1835
FJ361206.1	1194	227	22	1.7863984	A9AUEL	p1835
FJ361210.1	528	145	8	0.8968254	A9AUEL	p1835
FJ445122.1	7129	233	17	0.33443186	A9AUEL	p1835
FJ445134.1	7109	291	19	0.43813765	A9AUEL	p1835
FJ445142.1	7140	559	54	1.0606581	A9AUEL	p1835
FJ445184.1	7152	67	1	0.009568695	A9AUEL	p1835
FJ537136.1	7580	207	5	0.06312247	A9AUEL	p1835
FJ755404.1	6771	3469	798	16.129135	A9AUEL	p1835
FJ755405.1	6771	3751	1063	22.381664	A9AUEL	p1835
FJ938051.1	29232	232	11	0.038580567	A9AUEL	p1835
FJ938052.1	29306	511	42	0.20184524	A9AUEL	p1835
FJ938053.1	29277	626	15	0.07096508	A9AUEL	p1835
FJ938056.1	29253	1090	81	0.3766622	A9AUEL	p1835
FJ938057.1	29275	850	27	0.12295279	A9AUEL	p1835
FJ938058.1	28479	349	35	0.18045112	A9AUEL	p1835
FJ938060.1	29256	729	123	0.59094346	A9AUEL	p1835
FJ938062.1	29266	151	21	0.098708615	A9AUEL	p1835
FJ973560.1	4958	3687	868	24.45674	A9AUEL	p1835
FJ973620.1	6586	6042	1789	38.960533	A9AUEL	p1835
FM955837.2	7466	289	7	0.18069984	A9AUEL	p1835
GQ179640.3	7982	186	5	0.059371807	A9AUEL	p1835
GQ183026.1	7283	79	1	0.011075284	A9AUEL	p1835
GQ184145.1	7989	533	49	0.8318663	A9AUEL	p1835
GQ225788.1	3267	205	10	0.38723132	A9AUEL	p1835
GQ225794.1	1194	552	70	8.617816	A9AUEL	p1835
GQ225800.1	597	90	2	0.34451902	A9AUEL	p1835
GQ225818.1	954	54	2	0.1318408	A9AUEL	p1835
GQ261222.1	7458	126	1	0.01724138	A9AUEL	p1835
GQ387499.1	5905	82	1	0.014248479	A9AUEL	p1835
GQ415660.1	6534	6312	1489	32.04433	A9AUEL	p1835
GQ428137.1	1060	188	37	4.7725277	A9AUEL	p1835
GQ428139.1	751	161	19	3.0582364	A9AUEL	p1835
GQ463194.1	712	106	1	0.15836298	A9AUEL	p1835
GQ845368.2	7559	157	2	0.021190444	A9AUEL	p1835
GQ845369.3	7560	88	1	0.011875844	A9AUEL	p1835
GQ845370.2	7523	659	51	0.954564	A9AUEL	p1835
GU017903.2	7529	2494	174	3.299905	A9AUEL	p1835
GU117634.1	7309	232	16	0.28998464	A9AUEL	p1835
GU452720.1	3893	201	17	0.6048624	A9AUEL	p1835
GU553361.1	29264	689	44	0.2118225	A9AUEL	p1835
GU589577.1	3860	1857	180	6.740162	A9AUEL	p1835
GU589578.1	3916	67	1	0.017790759	A9AUEL	p1835
GU589580.1	2304	2289	7486	458.76184	A9AUEL	p1835
GU589581.1	2207	2066	1715	104.969376	A9AUEL	p1835
GU589582.1	2241	136	1	0.06504065	A9AUEL	p1835
GU589584.1	1331	1314	5543	608.8552	A9AUEL	p1835
GU595289.1	8047	110	1	0.01392934	A9AUEL	p1835
GU937877.1	3302	3213	3986	174.53871	A9AUEL	p1835
GU937878.1	2692	107	1	0.04209284	A9AUEL	p1835
GU937879.1	2591	476	7	0.35559198	A9AUEL	p1835
GU937881.1	1356	1289	2847	344.2728	A9AUEL	p1835
GU937884.1	1059	391	16	1.0220022	A9AUEL	p1835
GU937886.1	751	351	137	21.885191	A9AUEL	p1835
GU943513.1	8054	122	3	0.04111842	A9AUEL	p1835
GU984757.1	1356	771	166	17.045605	A9AUEL	p1835
GU984760.1	1062	67	1	0	A9AUEL	p1835
GU991355.1	7544	1449	92	1.7576413	A9AUEL	p1835
HF679486.1	5983	231	26	0.4191668	A9AUEL	p1835
HG793809.1	7996	570	56	0.9859801	A9AUEL	p1835
HM002617.1	7433	276	3	0.042564876	A9AUEL	p1835
HM011556.1	5387	2993	663	17.353638	A9AUEL	p1835
HM035533.1	700	82	2	0.07454546	A9AUEL	p1835
HM237363.1	6772	1209	311	6.15675	A9AUEL	p1835
HM590588.1	2383	279	7	0.3179579	A9AUEL	p1835
HQ012370.1	29266	161	2	0.005529606	A9AUEL	p1835
HQ012371.1	29274	907	123	0.59195167	A9AUEL	p1835
HQ388348.2	5666	626	124	3.1642494	A9AUEL	p1835
HQ392470.1	29255	501	88	0.44064593	A9AUEL	p1835
HQ392471.1	29252	706	37	0.17936912	A9AUEL	p1835
HQ415758.1	7470	74	1	0.01010929	A9AUEL	p1835
HQ440224.1	1062	109	1	0.10526316	A9AUEL	p1835
HQ641294.1	2717	96	1	0.0116867935	A9AUEL	p1835
HQ834197.1	3302	84	1	0.026649747	A9AUEL	p1835
HQ834198.1	2686	91	1	0.25473186	A9AUEL	p1835
HQ834200.1	1356	56	1	0	A9AUEL	p1835
HQ834203.1	1059	242	4	0.28932893	A9AUEL	p1835
HQ834205.1	751	172	2	0.18136439	A9AUEL	p1835
J02226.1	5130	4874	1478	40.421486	A9AUEL	p1835
J02400.1	5243	5007	2893	78.656	A9AUEL	p1835
JF742759.1	6119	5611	1237	28.641983	A9AUEL	p1835
JF831950.1	1059	158	1	0.09130913	A9AUEL	p1835
JF831951.1	654	119	3	0.4722222	A9AUEL	p1835
JF831955.1	672	300	7	0.8544061	A9AUEL	p1835
JF906559.1	7352	302	10	0.20619272	A9AUEL	p1835
JN088541.1	8289	2120	196	3.3031085	A9AUEL	p1835
JN091707.1	10347	3053	301	3.9367461	A9AUEL	p1835
JN183882.1	29243	344	11	0.043687485	A9AUEL	p1835
JN183883.1	29222	604	68	0.32601815	A9AUEL	p1835
JN379039.1	7798	749	28	0.67690897	A9AUEL	p1835
JN542510.1	7404	1875	149	2.6403363	A9AUEL	p1835
JN648103.1	5413	4812	832	21.64773	A9AUEL	p1835
JN799419.1	1436	552	131	12.776828	A9AUEL	p1835
JN799420.1	1332	129	5	0.27918783	A9AUEL	p1835
JN799421.1	1168	752	127	15.947937	A9AUEL	p1835
JN799422.1	1161	1150	5176	679.9624	A9AUEL	p1835
JN799423.1	2306	2282	4938	317.05472	A9AUEL	p1835
JN799424.1	2205	162	3	0.10364964	A9AUEL	p1835
JN799425.1	2243	2217	6526	416.26324	A9AUEL	p1835
JN799426.1	3857	3850	19426	719.33154	A9AUEL	p1835
JN799427.1	3916	918	71	2.630377	A9AUEL	p1835
JN799428.1	3903	3887	12066	444.76846	A9AUEL	p1835
JQ041368.1	7340	113	3	0.039082058	A9AUEL	p1835
JQ308210.1	2359	302	16	1.0153916	A9AUEL	p1835
JQ388274.1	7691	289	9	0.17066702	A9AUEL	p1835
JQ397329.1	7407	150	7	0.12567176	A9AUEL	p1835
JQ404409.1	29462	3171	209	0.9700805	A9AUEL	p1835
JQ412755.1	3854	1883	91	2.9730022	A9AUEL	p1835
JQ412756.1	3915	706	61	2.2719789	A9AUEL	p1835
JQ412757.1	3901	152	1	0.019728072	A9AUEL	p1835
JQ412758.1	2304	505	70	4.4860725	A9AUEL	p1835
JQ412759.1	2204	1068	271	14.230283	A9AUEL	p1835
JQ412760.1	2241	864	526	35.933525	A9AUEL	p1835
JQ412762.1	1331	130	3	0.16680779	A9AUEL	p1835
JQ412763.1	1198	1170	2510	317.83588	A9AUEL	p1835
JQ412764.1	1196	464	1566	160.0698	A9AUEL	p1835
JQ423898.1	1059	497	33	3.1859186	A9AUEL	p1835
JQ423899.1	1076	121	9	0.10259179	A9AUEL	p1835
JQ423900.1	750	210	41	6.24	A9AUEL	p1835
JQ423904.1	2591	133	1	0.03154445	A9AUEL	p1835
JQ613567.1	7527	264	10	0.17907009	A9AUEL	p1835
JQ622197.1	7583	96	1	0.0129153775	A9AUEL	p1835
JQ692585.1	5331	517	38	1.0515344	A9AUEL	p1835
JQ911594.1	7696	1430	154	2.728863	A9AUEL	p1835
JQ911763.1	8216	689	70	1.1731961	A9AUEL	p1835
JX163901.1	7781	401	5	0.09094483	A9AUEL	p1835
JX174176.1	7397	512	102	1.836346	A9AUEL	p1835
JX195074.1	3302	2405	4910	213.47716	A9AUEL	p1835
JX195075.1	2735	1933	2113	112.4557	A9AUEL	p1835
JX195076.1	2591	2588	38863	2247.6255	A9AUEL	p1835
JX195078.1	1356	1342	45509	5111.538	A9AUEL	p1835
JX195079.1	1061	88	3	0.058177825	A9AUEL	p1835
JX195080.1	1567	1554	13614	1353.4806	A9AUEL	p1835
JX195081.1	1059	1059	4922	735.7272	A9AUEL	p1835
JX195082.1	1074	775	139	15.966451	A9AUEL	p1835
JX195083.1	750	264	108	17.006666	A9AUEL	p1835
JX195084.1	664	658	3516	857.4163	A9AUEL	p1835
JX262162.1	4939	242	16	0.4737941	A9AUEL	p1835
JX304792.1	7549	556	20	0.36694148	A9AUEL	p1835
JX310702.1	2034	211	24	1.5748408	A9AUEL	p1835
JX415465.1	1331	661	239	24.317528	A9AUEL	p1835
JX415467.1	3915	1466	179	5.7341304	A9AUEL	p1835
JX415470.1	1198	322	18	2.066794	A9AUEL	p1835
JX846924.1	7527	196	31	0.548597	A9AUEL	p1835
JX846927.1	7534	1706	162	2.937026	A9AUEL	p1835
JX857868.1	6581	492	18	0.38205567	A9AUEL	p1835
JX857870.1	6124	2940	290	6.3751254	A9AUEL	p1835
JX896321.1	5805	590	28	0.5998232	A9AUEL	p1835
JX971570.1	2717	206	22	1.1671212	A9AUEL	p1835
JX971571.1	2591	139	2	0.07005326	A9AUEL	p1835
JX989075.1	7550	141	11	0.2064865	A9AUEL	p1835
K02086.1	1356	476	11	1.6086235	A9AUEL	p1835
KC013592.1	7556	245	18	0.221037	A9AUEL	p1835
KC152922.1	685	281	43	11.0411215	A9AUEL	p1835
KC631814.1	7575	905	194	3.5865319	A9AUEL	p1835
KC662537.1	7492	709	172	3.2376738	A9AUEL	p1835
KC693023.1	34402	98	1	0.0028611468	A9AUEL	p1835
KC782514.2	1566	1540	2026	197.55296	A9AUEL	p1835
KC782515.2	1059	1048	929	116.85149	A9AUEL	p1835
KC782516.2	1066	1063	718	122.66376	A9AUEL	p1835
KC782518.2	816	766	501	89.66066	A9AUEL	p1835
KC782520.2	2687	2658	5931	318.52856	A9AUEL	p1835
KC832887.1	7598	135	1	0.018125672	A9AUEL	p1835
KF039910.1	6792	3538	1191	24.474104	A9AUEL	p1835
KF275669.1	4945	302	56	1.3278415	A9AUEL	p1835
KF306212.1	7740	2726	229	4.230435	A9AUEL	p1835
KF306213.1	7578	508	24	0.4501885	A9AUEL	p1835
KF306214.1	7605	1282	235	4.0525823	A9AUEL	p1835
KF312882.1	7428	151	25	0.5186865	A9AUEL	p1835
KF360047.1	34163	214	5	0.014876665	A9AUEL	p1835
KF374704.1	6780	2325	222	4.607089	A9AUEL	p1835
KF422143.1	7396	386	5	0.050234612	A9AUEL	p1835
KF429784.1	7509	182	11	0.123522215	A9AUEL	p1835
KF429792.1	7509	454	6	0.06889523	A9AUEL	p1835
KF499111.1	6795	3220	480	10.023175	A9AUEL	p1835
KF712502.1	7509	451	10	0.122435115	A9AUEL	p1835
KF725085.1	7458	98	1	0.013409962	A9AUEL	p1835
KF781525.1	7394	52	1	0.0071783545	A9AUEL	p1835
KF792837.1	5479	653	56	1.4749484	A9AUEL	p1835
KF878965.2	17091	76	1	0.004486158	A9AUEL	p1835
KF958308.1	7216	151	6	0.12326635	A9AUEL	p1835
KJ196286.1	7535	275	3	0.035883546	A9AUEL	p1835
KJ196294.1	7521	302	25	0.47496948	A9AUEL	p1835
KJ196295.1	7543	1759	121	2.25186	A9AUEL	p1835
KJ541164.1	7411	80	1	0.011017766	A9AUEL	p1835
KJ541167.1	7371	2325	376	7.2345934	A9AUEL	p1835
KJ958930.1	8291	1708	109	1.8394547	A9AUEL	p1835
KM017741.1	6598	141	24	0.4989144	A9AUEL	p1835
KM023140.1	7998	6963	1449	25.53211	A9AUEL	p1835
KM068050.1	8313	308	81	1.4178611	A9AUEL	p1835
KM198573.1	7421	112	2	0.015403658	A9AUEL	p1835
KM591902.1	34391	74	2	0.003913437	A9AUEL	p1835
KP143512.1	28956	262	31	0.14090814	A9AUEL	p1835
KP266573.1	7436	3018	477	9.0479	A9AUEL	p1835
KP289357.1	7398	507	11	0.18487859	A9AUEL	p1835
KP289394.1	7412	143	4	0.07876618	A9AUEL	p1835
KP289435.1	7399	72	1	0.009932404	A9AUEL	p1835
KP298674.1	7429	246	8	0.1693914	A9AUEL	p1835
KP329564.1	35159	88	1	0.0035419464	A9AUEL	p1835
KP329565.1	34064	94	1	0.0027717168	A9AUEL	p1835
KP329566.1	35670	479	12	0.050844595	A9AUEL	p1835
KP404149.1	6617	5438	1661	35.392765	A9AUEL	p1835
KP714074.1	9786	631	20	0.28580323	A9AUEL	p1835
KP784692.1	7569	450	9	0.10149616	A9AUEL	p1835
KP784694.1	7570	690	43	0.72008085	A9AUEL	p1835
KP784695.1	7570	804	29	0.4587601	A9AUEL	p1835
KP849472.1	30004	929	34	0.17779861	A9AUEL	p1835
KR349191.1	1718	212	7	0.15816326	A9AUEL	p1835
KR349192.1	1618	125	6	0.1893733	A9AUEL	p1835
KR349194.1	1114	320	56	4.701245	A9AUEL	p1835
KR349195.1	1076	61	1	0	A9AUEL	p1835
KR349196.1	1052	141	9	0.94567627	A9AUEL	p1835
KR816170.1	7416	468	34	0.69240296	A9AUEL	p1835
KR816180.1	7348	532	52	0.92470133	A9AUEL	p1835
KR816183.1	7500	261	12	0.21904762	A9AUEL	p1835
KT327081.1	7441	6074	2056	39.08778	A9AUEL	p1835
KT353723.1	7328	220	94	1.8455001	A9AUEL	p1835
KT589391.1	7550	126	1	0.03108108	A9AUEL	p1835
KT879919.1	7123	129	3	0.03786032	A9AUEL	p1835
KT879921.1	7166	126	4	0.06827252	A9AUEL	p1835
KT879925.1	7212	238	3	0.047578588	A9AUEL	p1835
KT879931.1	7472	237	2	0.032368205	A9AUEL	p1835
KT884050.1	5163	121	2	0.04248953	A9AUEL	p1835
KT966495.2	20398	252	14	0.10045437	A9AUEL	p1835
KU254611.1	7557	151	8	0.14985824	A9AUEL	p1835
KU311708.1	4300	439	60	2.0503614	A9AUEL	p1835
KU315178.1	5813	108	7	0.09411973	A9AUEL	p1835
KU707902.1	7394	50	1	0.006902264	A9AUEL	p1835
KU727766.1	5166	1235	101	2.7838914	A9AUEL	p1835
KU870455.1	7563	938	104	1.9031432	A9AUEL	p1835
KX079488.1	7510	7422	2675	50.262634	A9AUEL	p1835
KX431437.1	7563	834	84	1.5746661	A9AUEL	p1835
KX505867.1	33562	66	1	0.0019753382	A9AUEL	p1835
KX894315.1	7450	6473	1141	21.656576	A9AUEL	p1835
KY038943.1	5979	629	51	1.2410362	A9AUEL	p1835
KY040275.1	188253	1119	184	0.14119923	A9AUEL	p1835
KY053144.1	3273	83	1	0.034902338	A9AUEL	p1835
KY053208.1	3273	51	1	0.01633045	A9AUEL	p1835
KY271948.1	7146	687	80	1.5956261	A9AUEL	p1835
KY399057.1	1689	233	7	0.53801167	A9AUEL	p1835
KY442319.1	7527	127	5	0.07645384	A9AUEL	p1835
KY581736.1	4872	162	12	0.36001694	A9AUEL	p1835
KY855436.1	8283	55	1	0.006762572	A9AUEL	p1835
L07418.1	7708	617	26	0.4502514	A9AUEL	p1835
L13745.1	6828	6032	4519	93.87361	A9AUEL	p1835
LC088094.1	28359	250	19	0.09518239	A9AUEL	p1835
LC190463.1	7448	151	2	0.038366675	A9AUEL	p1835
LC209435.1	7530	78	2	0.0200542	A9AUEL	p1835
LC209439.1	7536	358	74	0.7818847	A9AUEL	p1835
LC209440.1	7519	147	33	0.40778938	A9AUEL	p1835
LC209450.1	7616	416	5	0.06402358	A9AUEL	p1835
LC209451.1	7548	1057	146	2.662341	A9AUEL	p1835
LC209457.1	7559	208	8	0.14671345	A9AUEL	p1835
LK021688.1	7407	262	95	1.7961968	A9AUEL	p1835
LN827554.1	165750	717	91	0.088907	A9AUEL	p1835
LN854562.1	7410	151	9	0.18719009	A9AUEL	p1835
LN854563.1	7697	954	72	1.3079369	A9AUEL	p1835
LN854568.1	7550	151	10	0.20162162	A9AUEL	p1835
LN854569.1	7579	277	7	0.07968771	A9AUEL	p1835
LN854570.1	7516	705	231	4.303693	A9AUEL	p1835
LT900503.1	28224	508	14	0.06571917	A9AUEL	p1835
M12737.1	7654	743	112	1.9610875	A9AUEL	p1835
M17463.1	7746	302	20	0.37914693	A9AUEL	p1835
M19296.1	5323	5229	3733	97.754684	A9AUEL	p1835
M28377.1	947	139	1	0.11919699	A9AUEL	p1835
M37980.1	7286	259	14	0.2504204	A9AUEL	p1835
M55918.1	2319	2030	451	28.4154	A9AUEL	p1835
MF083115.1	30682	113	1	0.003701035	A9AUEL	p1835
MF083154.1	7417	230	3	0.0591716	A9AUEL	p1835
MF118167.1	3925	2835	679	23.816689	A9AUEL	p1835
MF554740.1	7288	81	1	0.008265621	A9AUEL	p1835
MF684776.1	6803	6362	2725	56.137833	A9AUEL	p1835
MF944258.1	7484	699	88	1.6671666	A9AUEL	p1835
MF947441.1	8244	7072	1482	25.113417	A9AUEL	p1835
MG012444.1	7483	2067	115	2.1205509	A9AUEL	p1835
MG012446.1	7398	2162	196	4.0107617	A9AUEL	p1835
MG012448.1	7447	151	2	0.041386873	A9AUEL	p1835
MG026495.1	7603	128	1	0.021467865	A9AUEL	p1835
MH043136.1	7441	110	2	0.019338911	A9AUEL	p1835
MH144598.1	7375	218	4	0.096055366	A9AUEL	p1835
MH144605.1	7441	137	12	0.17130709	A9AUEL	p1835
MH144606.1	7423	71	1	0.0097621335	A9AUEL	p1835
