accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain
AB014726.1	1610	Chuzan virus gene for outer capsid protein VP5, complete cds	77204	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Palyam virus	Chuzan virus	Chuzan virus
AB017037.1	9275	Himetobi P virus genomic RNA, complete sequence	81583	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Triatovirus	Himetobi P virus	unclassified Himetobi P virus subspecies/strain	unclassified Himetobi P virus strain
AB017613.1	3818	Torque teno virus 16 DNA, complete genome, isolate: TUS01	687355	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 16	unclassified Torque teno virus 16 subspecies/strain	unclassified Torque teno virus 16 strain
AB018087.1	1967	Chuzan virus genomic RNA for minor core protein VP4, complete cds	77204	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Palyam virus	Chuzan virus	Chuzan virus
AB018089.1	1764	Chuzan virus genomic RNA for non structural protein NS1, complete cds	77204	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Palyam virus	Chuzan virus	Chuzan virus
AB021287.1	9228	Hepatitis G virus gene for polyprotein, complete cds	54290	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pegivirus	Pegivirus C	GB virus C	GB virus C
AB025946.2	3808	Torque teno virus 19 DNA, complete genome, isolate: TTV SANBAN	687358	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 19	unclassified Torque teno virus 19 subspecies/strain	unclassified Torque teno virus 19 strain
AB026929.1	2897	Torque teno mini virus 6 DNA, complete genome, isolate: TLMV-CBD203	687374	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 6	unclassified Torque teno mini virus 6 subspecies/strain	unclassified Torque teno mini virus 6 strain
AB026931.1	2856	Torque teno mini virus 1 DNA, complete genome, isolate: TLMV-CBD279	687369	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 1	unclassified Torque teno mini virus 1 subspecies/strain	unclassified Torque teno mini virus 1 strain
AB027020.1	7700	Human papillomavirus type 69 DNA, complete genome	37121	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 5	human papillomavirus 69	human papillomavirus 69
AB027021.1	7871	Human papillomavirus type 82 DNA, complete genome	129724	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 5	human papillomavirus 82	human papillomavirus 82
AB028668.1	3787	Torque teno virus 15 DNA, complete genome, isolate: TJN01	687354	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 15	unclassified Torque teno virus 15 subspecies/strain	unclassified Torque teno virus 15 strain
AB030009.1	1171	Rice gall dwarf virus genomic RNA, segment S11, complete sequence	10986	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Phytoreovirus	Rice gall dwarf virus	unclassified Rice gall dwarf virus subspecies/strain	unclassified Rice gall dwarf virus strain
AB030907.1	9654	Hepatitis C virus (isolate JPUT971017) genomic RNA, complete genome	356412	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	Hepatitis C virus (isolate JPUT971017)	Hepatitis C virus (isolate JPUT971017)
AB030940.1	6812	Apple latent spherical virus RNA1 for 235K polyprotein, complete cds	101688	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Cheravirus	Apple latent spherical virus	unclassified Apple latent spherical virus subspecies/strain	unclassified Apple latent spherical virus strain
AB030941.1	3384	Apple latent spherical virus RNA2 for 108K polyprotein, complete cds	101688	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Cheravirus	Apple latent spherical virus	unclassified Apple latent spherical virus subspecies/strain	unclassified Apple latent spherical virus strain
AB031663.1	9488	Hepatitis C virus (isolate VAT96) genomic RNA, complete genome	356414	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	Hepatitis C virus (isolate VAT96)	Hepatitis C virus (isolate VAT96)
AB032553.1	11698	Sagiyama virus genomic RNA, complete genome	59303	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Getah virus	Sagiyama virus	Sagiyama virus
AB033998.1	6927	Avian nephritis virus 1 genes for structural polyprotein, non-structural polyprotein, complete cds	336960	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Avastrovirus	Avastrovirus 2	Avian nephritis virus 1	Avian nephritis virus 1
AB037926.1	3899	Torque teno virus 14 DNA, complete genome, isolate: s-TTV CH65-1	687353	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 14	unclassified Torque teno virus 14 subspecies/strain	unclassified Torque teno virus 14 strain
AB037948.1	1673	Hepatitis D virus genomic RNA, complete genome, isolate:VnzD8349	12475	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Kolmioviridae	Deltavirus	Hepatitis delta virus	unclassified Hepatitis delta virus subspecies/strain	unclassified Hepatitis delta virus strain
AB038147.1	5853	Soybean dwarf virus genomic RNA, complete genome, strain:YS	12049	Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Luteovirus	Soybean dwarf virus	unclassified Soybean dwarf virus subspecies/strain	unclassified Soybean dwarf virus strain
AB038621.1	3676	Torque teno virus 29 ORF2, ORF1, ORF3 genes, complete cds, isolate: TTVyon-KC009	687368	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 29	unclassified Torque teno virus 29 subspecies/strain	unclassified Torque teno virus 29 strain
AB038625.1	2915	Torque teno mini virus 9 complete genome, isolate: TLMV-CLC062	687377	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 9	unclassified Torque teno mini virus 9 subspecies/strain	unclassified Torque teno mini virus 9 strain
AB038627.1	2952	Torque teno mini virus 7 DNA, complete genome, isolate: TLMV-CLC156	687375	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 7	unclassified Torque teno mini virus 7 subspecies/strain	unclassified Torque teno mini virus 7 strain
AB038629.1	2765	Torque teno mini virus 2 DNA, complete genome, isolate: TLMV-NLC023	687370	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 2	unclassified Torque teno mini virus 2 subspecies/strain	unclassified Torque teno mini virus 2 strain
AB038630.1	2897	Torque teno mini virus 3 DNA, complete genome, isolate: TLMV-NLC026	687371	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 3	unclassified Torque teno mini virus 3 subspecies/strain	unclassified Torque teno mini virus 3 strain
AB040456.1	8017	Human papillomavirus type 71 DNA, complete genome	120686	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 14	human papillomavirus 71	human papillomavirus 71
AB041007.1	3852	Torque teno virus 1 orf2/5, orf2/4, orf1 genes for VP1, VP2, VP3, complete cds	687340	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 1	unclassified Torque teno virus 1 subspecies/strain	unclassified Torque teno virus 1 strain
AB041957.1	3690	Torque teno virus 4 DNA, complete genome, isolate: Pt-TTV6	687343	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 4	unclassified Torque teno virus 4 subspecies/strain	unclassified Torque teno virus 4 strain
AB041958.2	3798	Torque teno virus 26 DNA, complete genome, isolate: Mf-TTV3	687365	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 26	unclassified Torque teno virus 26 subspecies/strain	unclassified Torque teno virus 26 strain
AB041959.1	3763	Torque teno virus 25 DNA, complete genome, isolate: Mf-TTV9	687364	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 25	unclassified Torque teno virus 25 subspecies/strain	unclassified Torque teno virus 25 strain
AB041960.1	3371	Torque teno tamarin virus DNA, complete genome, isolate: So-TTV2	687382	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Epsilontorquevirus	Torque teno tamarin virus	unclassified Torque teno tamarin virus subspecies/strain	unclassified Torque teno tamarin virus strain
AB041961.1	3718	Torque teno douroucouli virus DNA, complete genome, isolate: At-TTV3	687383	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Zetatorquevirus	Torque teno douroucouli virus	unclassified Torque teno douroucouli virus subspecies/strain	unclassified Torque teno douroucouli virus strain
AB041962.1	2908	Torque teno mini virus 5 DNA, complete genome, isolate: TGP96	687373	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 5	unclassified Torque teno mini virus 5 subspecies/strain	unclassified Torque teno mini virus 5 strain
AB041963.1	2785	Torque teno mini virus 4 DNA, complete genome, isolate: Pt-TTV8-II	687372	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 4	unclassified Torque teno mini virus 4 subspecies/strain	unclassified Torque teno mini virus 4 strain
AB042597.1	5078	Bombyx mori densovirus 5 orf1, orf2, orf3, orf4 genes for nonstructural protein, capsid protein, complete cds	125788	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Iteradensovirus	Lepidopteran iteradensovirus 1	Bombyx mori densovirus 5	Bombyx mori densovirus 5
AB042808.1	7697	Chiba virus genomic RNA, complete genome	99565	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Chiba virus	Chiba virus
AB049607.1	3301	Torque teno virus 23 ORF2, ORF1 genes, complete cds, isolate: s-TTV CH65-2	687362	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 23	unclassified Torque teno virus 23 subspecies/strain	unclassified Torque teno virus 23 strain
AB049608.1	3322	Torque teno virus 2 ORF2, ORF1 genes, complete cds, isolate: s-TTV CH71	687341	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 2	unclassified Torque teno virus 2 subspecies/strain	unclassified Torque teno virus 2 strain
AB054647.1	3790	Torque teno virus 8 DNA, complete genome, genotype 22	687347	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 8	unclassified Torque teno virus 8 subspecies/strain	unclassified Torque teno virus 8 strain
AB054688.1	5865	Squash mosaic virus RNA1, complete sequence	12263	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Squash mosaic virus	unclassified Squash mosaic virus subspecies/strain	unclassified Squash mosaic virus strain
AB054689.1	3354	Squash mosaic virus RNA2, nearly complete sequence	12263	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Squash mosaic virus	unclassified Squash mosaic virus subspecies/strain	unclassified Squash mosaic virus strain
AB057358.1	2199	Torque teno tupaia virus ORF3, ORF2, ORF1 genes for hypothetical proteins, complete cds, isolate: Tbc-TTV14	687381	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Deltatorquevirus	Torque teno tupaia virus	unclassified Torque teno tupaia virus subspecies/strain	unclassified Torque teno tupaia virus strain
AB060594.1	3234	Torque teno virus 20 ORF4, ORF3, ORF2, ORF1 genes, complete cds, clone: SAa-10	687359	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 20	unclassified Torque teno virus 20 subspecies/strain	unclassified Torque teno virus 20 strain
AB060597.1	3246	Torque teno virus 24 ORF4, ORF3, ORF2, ORF1 genes, complete cds, clone: SAa-01	687363	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 24	unclassified Torque teno virus 24 subspecies/strain	unclassified Torque teno virus 24 strain
AB064595.1	3729	Torque teno virus 27 DNA, complete genome, isolate: CT23F	687366	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 27	unclassified Torque teno virus 27 subspecies/strain	unclassified Torque teno virus 27 strain
AB064598.1	3629	Torque teno virus 28 DNA, complete genome, isolate: CT43F	687367	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 28	unclassified Torque teno virus 28 subspecies/strain	unclassified Torque teno virus 28 strain
AB064605.1	3759	Torque teno virus 12 DNA, complete genome, isolate: CT44F	687351	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 12	unclassified Torque teno virus 12 subspecies/strain	unclassified Torque teno virus 12 strain
AB064607.1	3770	Torque teno virus 10 DNA, complete genome, isolate: JT34F	687349	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 10	unclassified Torque teno virus 10 subspecies/strain	unclassified Torque teno virus 10 strain
AB071183.1	1696	Amur virus Solovey/AP61/1999 gene for nucleocapsid protein, complete cds	170954	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Amur virus	Amur virus Solovey/AP61/1999	Amur virus Solovey/AP61/1999
AB073147.1	7471	Cycas necrotic stunt virus PP1 gene for polyprotien 1, complete cds	173976	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Cycas necrotic stunt virus	unclassified Cycas necrotic stunt virus subspecies/strain	unclassified Cycas necrotic stunt virus strain
AB073148.2	4667	Cycas necrotic stunt virus PP2 gene for polyprotien 2, complete cds	173976	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Cycas necrotic stunt virus	unclassified Cycas necrotic stunt virus subspecies/strain	unclassified Cycas necrotic stunt virus strain
AB073276.1	2259	Rosellinia anti-rot virus segment X gene for PX, complete cds	311229	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 3	unclassified Mycoreovirus 3 subspecies/strain	unclassified Mycoreovirus 3 strain
AB073277.1	2030	Rosellinia anti-rot virus segment 6 gene for P6, complete cds	311229	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 3	unclassified Mycoreovirus 3 subspecies/strain	unclassified Mycoreovirus 3 strain
AB073278.1	1509	Rosellinia anti-rot virus segment 7 gene for P7, complete cds	311229	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 3	unclassified Mycoreovirus 3 subspecies/strain	unclassified Mycoreovirus 3 strain
AB073279.1	1299	Rosellinia anti-rot virus segment 8 gene for P8, complete cds	311229	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 3	unclassified Mycoreovirus 3 subspecies/strain	unclassified Mycoreovirus 3 strain
AB073280.1	1226	Rosellinia anti-rot virus segment 9 gene for P9, complete cds	311229	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 3	unclassified Mycoreovirus 3 subspecies/strain	unclassified Mycoreovirus 3 strain
AB073281.1	1171	Rosellinia anti-rot virus segment 10 gene for P10, complete cds	311229	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 3	unclassified Mycoreovirus 3 subspecies/strain	unclassified Mycoreovirus 3 strain
AB073282.1	1003	Rosellinia anti-rot virus segment 11 gene for P11, complete cds	311229	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 3	unclassified Mycoreovirus 3 subspecies/strain	unclassified Mycoreovirus 3 strain
AB073283.1	943	Rosellinia anti-rot virus segment 12 gene for P12, complete cds	311229	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 3	unclassified Mycoreovirus 3 subspecies/strain	unclassified Mycoreovirus 3 strain
AB076001.1	2878	Torque teno sus virus 1 ORF3, ORF2, ORF1 genes, complete cds, isolate: Sd-TTV31	687386	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Iotatorquevirus	Torque teno sus virus 1a	unclassified Torque teno sus virus 1a subspecies/strain	unclassified Torque teno sus virus 1a strain
AB076002.1	2797	Torque teno canis virus ORF3, ORF2, ORF1 genes, complete cds, isolate: Cf-TTV10	687385	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Thetatorquevirus	Torque teno canid virus 1	Torque teno canis virus	Torque teno canis virus
AB076003.1	2064	Torque teno felis virus ORF3, ORF2, ORF1 genes, complete cds, isolate: Fc-TTV4	687384	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Etatorquevirus	Torque teno felid virus 1	Torque teno felis virus	Torque teno felis virus
AB077766.1	2359	Human rotavirus A gene for VP4, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A
AB084450.1	5817	Broad bean wilt virus 1 RNA1 gene for polyprotein, complete cds	50817	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Fabavirus	Broad bean wilt virus 1	unclassified Broad bean wilt virus 1 subspecies/strain	unclassified Broad bean wilt virus 1 strain
AB084451.1	3446	Broad bean wilt virus 1 RNA2 gene for polyprotein, complete cds	50817	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Fabavirus	Broad bean wilt virus 1	unclassified Broad bean wilt virus 1 subspecies/strain	unclassified Broad bean wilt virus 1 strain
AB084452.1	5836	Gentian mosaic virus RNA1 gene for polyprotein, complete cds	182452	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Fabavirus	Gentian mosaic virus	unclassified Gentian mosaic virus subspecies/strain	unclassified Gentian mosaic virus strain
AB084453.1	3372	Gentian mosaic virus RNA2 gene for polyprotein, complete cds	182452	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Fabavirus	Gentian mosaic virus	unclassified Gentian mosaic virus subspecies/strain	unclassified Gentian mosaic virus strain
AB084788.1	8374	Aichivirus B genomic RNA, complete genome, strain:U-1	194965	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	unclassified Aichivirus B subspecies/strain	unclassified Aichivirus B strain
AB090161.1	8021	Theiler's-like virus of rats NGS910 genomic RNA, complete genome	204729	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cardiovirus	Cardiovirus B	Theiler's-like virus of rats	Theiler's-like virus of rats
AB096862.1	1368	Rotavirus G8 NSP1 mRNA for NSP1, complete cds	71031	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G8	Rotavirus G8
AB097459.2	1652	Human rotavirus G12 gene for NSP1, complete cds	215680	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G12	Rotavirus G12
AB098022.1	3773	Mycoreovirus 3 segment S2 P2 gene for hypothetical protein, complete cds	311229	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 3	unclassified Mycoreovirus 3 subspecies/strain	unclassified Mycoreovirus 3 strain
AB098023.1	2089	Mycoreovirus 3 segment S5 P5 gene for hypothetical protein, complete cds	311229	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus 3	unclassified Mycoreovirus 3 subspecies/strain	unclassified Mycoreovirus 3 strain
AB100245.1	9339	Human immunodeficiency virus 2 proviral DNA, nearly complete genome, isolate:01JP-IMCJ/KR020.1	11709	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 2	unclassified Human immunodeficiency virus 2 subspecies/strain	unclassified Human immunodeficiency virus 2 strain
