sample_ID	variant	proportion	coverage
R9P8M5.p1765	XDF	0.74999989	14.784469785640237
TC-22-0810.p1552	BF.7.11	1.0	7.363809651205565
JV87VY.p1616	EY.1	0.33333333	7.6346854830619
JV87VY.p1616	EF.1.1	0.33333333	7.6346854830619
JV87VY.p1616	EF.1.1.1	0.33333333	7.6346854830619
FJY5K2.p1616	BA.2.11	0.57094589	7.714944988797111
MC-22-0615.p1552	BA.5.9	1.0	12.359963883222418
FUVWWP.p1716	XCR	0.99999992	5.64826271611544
DEAK4X.p1623	XCE	1.0	6.561214593853459
JY3P87.p1716	XDF	0.25	11.045714476808348
EFEPN3.p1716	GW.1.1	1.0	6.404039728455339
JT-22-15315.p1552	XAJ	0.25	9.597699227502257
JT-22-15315.p1552	BG.3	0.25	9.597699227502257
JT-22-15315.p1552	BA.2.12.1	0.25	9.597699227502257
JT-22-15315.p1552	BA.2.12	0.25	9.597699227502257
HO-22-0829.p1562	XBE	0.13580233	10.507306959167977
HO-22-0829.p1562	BA.5.2.26	0.13580233	10.507306959167977
HO-22-0829.p1562	BA.5.2.2	0.13580233	10.507306959167977
HO-22-0829.p1562	BA.5.6.4	0.117347	10.507306959167977
HO-22-0829.p1562	BA.5.6.3	0.117347	10.507306959167977
HO-22-0829.p1562	BA.5.6.2	0.117347	10.507306959167977
HO-22-0829.p1562	BA.5.6	0.117347	10.507306959167977
NY4ADA.p1700	GY.8	0.827586	6.905661639300405
ML6F3S.p1765	BA.2.66	1.0	5.400795906765207
LPMBTM.p1765	JD.1.1.1	0.3030303	6.006086345851587
LPMBTM.p1765	JD.1.1.2	0.3030303	6.006086345851587
LPMBTM.p1765	JD.1.1.3	0.3030303	6.006086345851587
CF46MZ.p1600	BA.5.2.40	0.2	8.142995686051567
CF46MZ.p1600	BA.5.2.23	0.2	8.142995686051567
CF46MZ.p1600	BA.5.2.9	0.2	8.142995686051567
CF46MZ.p1600	BA.5.2.4	0.2	8.142995686051567
CF46MZ.p1600	BA.5.2	0.2	8.142995686051567
UTTYTE.p1716	HE.2	0.2	5.357322007825302
UTTYTE.p1716	FE.1.1.4	0.2	5.357322007825302
UTTYTE.p1716	FE.1.1.3	0.2	5.357322007825302
UTTYTE.p1716	FE.1.1.1	0.2	5.357322007825302
UTTYTE.p1716	FE.1.1	0.2	5.357322007825302
h6nntv.p1623	XBB.1.5.57	0.33333302	63.52205464334682
h6nntv.p1623	CW.1	0.27142898	63.52205464334682
h6nntv.p1623	BA.2.21	0.18571405	63.52205464334682
SP7D5H.p1700	EG.11	1.0	7.775139618098518
AS-22-0719.p1552	BA.5.5.1	0.11827967	31.659030866468246
AS-22-0719.p1552	BA.5.5	0.11827967	31.659030866468246
AS-22-0719.p1552	BA.5	0.11827967	31.659030866468246
AS-22-0719.p1552	BF.39	0.10752683	31.659030866468246
AS-22-0719.p1552	BF.4	0.10752683	31.659030866468246
AS-22-0719.p1552	BF.41	0.10752683	31.659030866468246
AS-22-0719.p1552	BF.6	0.10752683	31.659030866468246
AS-22-0719.p1552	BF.12	0.10752683	31.659030866468246
AS-22-0719.p1552	BA.5.2.1	0.10752683	31.659030866468246
CTAT87.p1716	XBB.2.3	0.65325013	11.166103735411163
w2srkm.p1623	XBB.1.5.57	0.53333301	20.16520081597164
w2srkm.p1623	XBB.1.5.62	0.29166699	20.16520081597164
WC3BLF.p1623	FL.30	0.224138	13.015416513393305
WC3BLF.p1623	FL.30.1	0.224138	13.015416513393305
WC3BLF.p1623	XDB	0.183908	13.015416513393305
WC3BLF.p1623	XBB.1.22.2	0.183908	13.015416513393305
WC3BLF.p1623	XBB.1.29	0.183908	13.015416513393305
UD3GV2.p1716	XBB.1.23	0.57142899	5.675015884693844
MC-22-0802.p1552	BA.5	0.461538	17.750727351770724
MC-22-0802.p1552	BA.5.6.4	0.1	17.750727351770724
MC-22-0802.p1552	BA.5.6.3	0.1	17.750727351770724
MC-22-0802.p1552	BA.5.6.2	0.1	17.750727351770724
MC-22-0802.p1552	BA.5.6	0.1	17.750727351770724
G9GW2J.p1623	BE.1.4.2	0.11198714	24.48583754138381
G9GW2J.p1623	BE.1.4.1	0.11198714	24.48583754138381
G9GW2J.p1623	BE.1.4	0.11198714	24.48583754138381
G9GW2J.p1623	BE.1	0.11198714	24.48583754138381
G9GW2J.p1623	BA.5.3.1	0.11198714	24.48583754138381
VGTR4N.p1616	BQ.1.11	0.346154	13.714343042504096
VGTR4N.p1616	BQ.1.10.2	0.1905595	13.714343042504096
VGTR4N.p1616	BQ.1.10	0.1905595	13.714343042504096
G7NT3G.p1700	FL.13.2.1	0.772727	6.895629201083503
G7NT3G.p1700	FL.37	0.227273	6.895629201083503
AS-22-0629.p1552	BA.5.9	0.361111	14.65739223489282
KFNXSA.p1700	KB.3	0.142857	5.0396281309567605
TC-22-0719.p1552	BA.5.5	0.99999995	15.145637561448684
SSX6HH.p1656	XBB.1.5.13	0.538462	14.159114470120056
DEAU5M.p1716	HV.1.6.1	0.125	5.317192254957696
DEAU5M.p1716	HV.1.7	0.125	5.317192254957696
DEAU5M.p1716	HV.1.6	0.125	5.317192254957696
DEAU5M.p1716	HV.1.4	0.125	5.317192254957696
DEAU5M.p1716	HV.1.3	0.125	5.317192254957696
DEAU5M.p1716	HV.1.5	0.125	5.317192254957696
DEAU5M.p1716	HV.1	0.125	5.317192254957696
DEAU5M.p1716	EG.5.1.6	0.125	5.317192254957696
P8NE5K.p1616	BQ.1.11	0.730769	10.758117914590509
DWKKXB.p1700	XBB.1.16.25	1.0	5.778684412935157
UV6LDT.p1716	FL.18.1	0.99999999	11.90516001738956
PT-22-0726.p1552	BA.5.1.10	0.333333	6.3070594923586265
BVNHBZ.p1732	EG.10.1.1	1.0	8.106210079256263
NRC74M.p1623	BQ.1.1.3	0.242424	16.630438417550078
NRC74M.p1623	DR.2	0.242424	16.630438417550078
j9p9hf.p1623	XBV	0.58823496	21.703508009229843
L5Y3BL.p1765	JN.1.1.1	0.25	5.822158311875063
L5Y3BL.p1765	JN.1.1	0.25	5.822158311875063
L5Y3BL.p1765	JN.1.2	0.25	5.822158311875063
L5Y3BL.p1765	JN.1	0.25	5.822158311875063
ML8U3B.p1716	EG.5	0.25925898	7.694880112363308
ML8U3B.p1716	EG.5.2.3	0.24691364	7.694880112363308
ML8U3B.p1716	EG.5.2.1	0.24691364	7.694880112363308
ML8U3B.p1716	EG.5.2	0.24691364	7.694880112363308
DNGH3L.p1623	XBL.2	0.33333332	25.632879644182857
DNGH3L.p1623	XBL	0.33333332	25.632879644182857
DNGH3L.p1623	XBB.1.5.57	0.33333332	25.632879644182857
CAP8Z5.p1600	BA.5.2.9	0.21929799	59.23485937865766
CAP8Z5.p1600	BE.1.1.1	0.13662198	59.23485937865766
M5P74X.p1716	JB.2.1	0.57142902	10.06922382369662
VKAYEK.p1700	EG.5.2.3	0.1206895	8.694779787981139
VKAYEK.p1700	EG.5.2	0.1206895	8.694779787981139
A8NJ8R.p1600	BE.1.4.2	0.27710823	28.47205965956593
A8NJ8R.p1600	BE.1.4.1	0.27710823	28.47205965956593
A8NJ8R.p1600	BA.5.3.3	0.13105047	28.47205965956593
A8NJ8R.p1600	BA.5.3	0.13105047	28.47205965956593
A8NJ8R.p1600	BA.5.3.4	0.13105047	28.47205965956593
JT-22-17201B.p1552	XAJ	0.33333333	8.995752934488179
JT-22-17201B.p1552	BG.1	0.33333333	8.995752934488179
JT-22-17201B.p1552	BG.6	0.33333333	8.995752934488179
K5S4CR.p1716	FL.14	0.916667	10.116041868708825
ATA6VA.p1616	B.1.1.447	0.258621	44.557402267331035
ATA6VA.p1616	BQ.1.1.29	0.116625	44.557402267331035
QW2LVJ.p1623	XBE	0.333333	24.455740226733102
PFZMXY.p1616	EC.1.1	0.59999956	5.728522221850651
PFZMXY.p1616	BE.1.2.1	0.17777831	5.728522221850651
22-31392.p1585	BA.5.2.23	1.0	5.905761963682574
GRMCF2.p1716	XDB	0.95	6.8187138414205934
KUTMXV.p1623	EH.1	0.27419354	13.018760659465606
KUTMXV.p1623	BQ.1.1.28	0.27419346	13.018760659465606
XFJXDF.p1716	FR.1.4	0.33333333	6.587967762431863
XFJXDF.p1716	XCN	0.33333333	6.587967762431863
XFJXDF.p1716	FR.1.1	0.33333333	6.587967762431863
FH-22-24166.p1562	BF.24	0.99999985	24.954017991505868
FUKY8M.p1600	BF.32	1.0	10.497274520951075
M375XQ.p1623	XBW	0.99999999	21.462729492024213
MC-22-0719.p1552	BA.5.5	0.37589299	23.148179112463634
RB-21-23297.p1552	AY.4.10	0.647059	7.019362605758619
RB-21-23297.p1552	AY.23	0.352941	7.019362605758619
RBZGKK.p1772	JN.1.2	0.5	5.822158311875063
RBZGKK.p1772	JN.1	0.5	5.822158311875063
M7MY28.p1616	BA.5.3	0.54255296	48.21255392435542
HO-22-0719.p1552	BA.5.1.22	0.296296	25.997391566063605
HO-22-0719.p1552	BA.5.6.4	0.175	25.997391566063605
HO-22-0719.p1552	BA.5.6.3	0.175	25.997391566063605
HO-22-0719.p1552	BA.5.6	0.175	25.997391566063605
HO-22-0719.p1552	BA.5.6.2	0.175	25.997391566063605
TC-22-0802.p1552	EQ.1	0.258065	8.457345416847808
C3HTU4.p1700	BG.7	0.28	15.416513393305019
C3HTU4.p1700	JM.2	0.2083335	15.416513393305019
C3HTU4.p1700	XBB.1.16.15	0.2083335	15.416513393305019
GXFFDZ.p1623	XBW	0.16666667	5.487743704645019
GXFFDZ.p1623	XBL.1	0.16666667	5.487743704645019
GXFFDZ.p1623	XBL.3	0.16666667	5.487743704645019
GXFFDZ.p1623	XBL.2	0.16666667	5.487743704645019
GXFFDZ.p1623	XBL	0.16666667	5.487743704645019
GXFFDZ.p1623	XBB.1.5.57	0.16666667	5.487743704645019
FH-22-17674.p1552	BE.5	0.3529412	18.68708825201485
FH-22-17674.p1552	BE.2	0.3529412	18.68708825201485
C2X842.p1716	XCV	0.99999999	8.32357957395579
REEEQY.p1716	FT.3.1	0.16666651	6.48429923419055
REEEQY.p1716	FT.3.1.1	0.16666651	6.48429923419055
F74VSA.p1716	XBB.1.5.57	0.846154	9.972243587599907
B5FZVW.p1716	XCV	0.9999998	10.259840149817745
RMLWN5.p1616	BA.5.3.1	0.266354	34.88278768016587
R3QE6K.p1623	BQ.1.1.57	0.423077	20.262181052068353
R3QE6K.p1623	XBG	0.310256	20.262181052068353
CMMR_control.p1600	B.1.177.86	0.5	9.985620171889108
JRH5L6.p1623	XCQ	0.5	11.29318128615858
JRH5L6.p1623	XBB.2.3	0.5	11.29318128615858
G97HVD.p1616	BA.2.3.19	1.0	8.744941979065645
B5FBF2.p1700	EG.5	0.93939389	5.792060997224358
Q5T77M.p1623	BA.5.2	0.695076	16.540146473597968
KKS3FA.p1700	FD.5	0.2105265	5.695080761127646
KKS3FA.p1700	XBB.1.10	0.2105265	5.695080761127646
TC-22-0622.p1552	BA.2.21	1.0	7.510952078386784
R8UD98.p1600	XBR	0.33333333	16.663879878273082
R8UD98.p1600	XBP	0.33333333	16.663879878273082
R8UD98.p1600	XBS	0.33333333	16.663879878273082
JN8BNA.p1675	BA.3.1	0.5	5.531217603584925
JN8BNA.p1675	BA.3	0.5	5.531217603584925
HS-22-17675.p1552	BA.5.1.37	0.18	10.891883757482526
HS-22-17675.p1552	BA.5.1.20	0.18	10.891883757482526
HS-22-17675.p1552	BA.5.1.36	0.18	10.891883757482526
HS-22-17675.p1552	BA.5.1.1	0.18	10.891883757482526
HS-22-17675.p1552	BA.5.1.19	0.18	10.891883757482526
UBBK6G.p1772	JN.2	1.0	7.230043808313547
M9GPF7.p1716	FL.1.5.1	0.4	33.976524094572454
M9GPF7.p1716	HN.1	0.3	33.976524094572454
M9GPF7.p1716	HN.6	0.3	33.976524094572454
NDWV5Q.p1616	BA.5.5	0.26956498	6.965856268601812
NDWV5Q.p1616	BA.5.9	0.26956498	6.965856268601812
NDWV5Q.p1616	BQ.1.1.75	0.10769194	6.965856268601812
j25xpc.p1623	BE.1.1	0.24999997	33.15720830685884
IA-22-0629.p1552	XBD	1.0	15.396448516871217
RB-22-17676.p1552	BA.5	0.869565	12.51379460254824
LRY7JM.p1700	BL.6	0.147059	6.785272380697589
